Unnamed: 0,아이디,댓글 내용
0,  @user-ll8hq9ru2n,마케팅을 너무 잘했네...라이브가 처참하다..컨셉은 독기인데 그렇지 못한 실력...어쩜 좋아
1,  @Mira-kf1ws,"Slayy!! U girls ate, hope u get more wins in the future!!! LESSERAFIM "
2,  @user-od9ki1xj2f,their vocals literally unforgiven lol
3,  @selmamuse3654,Every time Sakura opened her mouth I was on the verge of tears whats so hard with getting a vocal coach for her
4,  @user-lu3ue6jx7s,"르세라핌 실력파로 알고 있었는데,,, 충격이다 특히 후렴구 다같이 부를때 그냥 여고딩이 노래방에서 떼창하는거 같음ㅠㅠ 와중에 김채원은 진짜 개잘하네 허윤진도 저 정도면 다른 그룹 비교해도 잘하는데 왤케 엄격하냐,,,"
5,  @user-tw8wz8zw9i,"김채원 나락감지 표정이 개웃김 ㅋㅋㅋㅋ ㅠㅠ 멱살캐리하느라 수고가많다 우리채원,,"
6,  @lovienotofficialchannel,Chaewon is obviously the most stable vocal as always
7,  @haleycho6443,어우.....노래 어쩌면 좋아......1위할때 실력점수도 넣어줘라...
8,  @hiariluuv__,"I regret what I said in an old comment, Yunjin vocals weren’t the best. But Eunchae and Chaewon omg especially Chaewon!"
9,  @galerights8983,why is sakura always on the verge of tears when singing
10,  @fss1452,Their voice so unforgiven
11,  @demian26,과연 저 무대가 서바이벌 무대였다면 심사위원들이 뭐라했을까..그리고 관객들은 어떤 점수를줬을까..
12,  @rukiao-rl9ws,확실히 실력적으로는 기준 미달이네...
13,  @abcdefghijklmn941,노래방에서 많이듣던 실력...........
14,  @yagirlani1656,Chaewon had the most stable and in sync singing voice out of all of them. Sad she only had 2 main solo lines only
15,  @user-oy4fl1cs3r,나 진짜 르세라핌 좋아했는데 너무 못 하는 게 신기해서 주기적으로 듣고 있음 왜 이러지 진짜
16,  @jamesh146,"서서 부르는데홍은채, 카즈하, 사쿠라 음치 클라스 폼 미쳤다."
17,  @cherrysugi,Chaewon and Yunjin are queens. Even little Eunchae is doing her thing.
18,  @user-jo9me5lo6n,보는 사람 불안하게 … 심장 조마 조마 하면서 보게되는 라이브… 제발 잘하길 바라는 피어나 ㅠㅠ
19,  @qwerasdf-yx2rk,이야 국내에서 가장 성공한 댄스팀이다 가수는 아니니까
20,  @gayatrig1346,Chaewon carrying the whole team like the queen she isManchae shocked me she's so good
21,  @Telegater,3:15 Sakura and her unforgiven vocals
22,  @joistories6537,why is no one talking about yunjin she sounded so good
23,  @sandrabrown3276,Unforgiven한 실력이다진짜ㅋㅋ
24,  @user-st5yb7yf7t,엔믹스가 진짜 쩌는거네 ㅋㅋ
25,  @tess8691,"i was so shocked when they gave kazuha such a challenging part in the second verse and my fears were confirmed.. she’s much better as a rapper. her opening the song was perfect and her bridge was good, she just isn’t strong enough in singing to do stuff like that and that’s okay. chae and yunjin are great singers and eunchae is on her way. LE SSERAFIM FIGHTING!"
