Unnamed: 0,아이디,댓글 내용
0,  @hyeongieemrremoved9763,"Hii  If you like my videos, plz press like, subscribe and turn on the bell to get the newest notifications !!!If you have any requests, plz leave a comment and don't forget to mention me because there are so many comments so I can't check them all "
1,  @user-re7tw6oc2i,I'm surprised the live can be so clean and stable. Plz do kitche by IVE
2,  @rose_karina_hanni,Jisoo flowe Inkigayo stage
3,  @rose_karina_hanni,ive kitsch
4,  @user-zc5wx5dr1z,Please do Kep1er next. Their new song “giddy”
5,  @hyeongieemrremoved9763," @rose_karina_hanni  All of her performances at inkigayo are lipsync  but you can watch the performance at Coachella, she sang live"
6,  @rose_karina_hanni, @hyeongieemrremoved9763  aww ok dear
7,  @doel8126,이서 잘 하진 않는데 사리지 않고 자신감있게 소리 내는 거 너무 보기 좋다 저래야 늘지.리즈 유진이는 진짜 떡상해라 저렇게 춤추면서 저렇게 잘 하다니 ㅠㅠㅠ
8,  @user-jk9wz8zz3i,내가 하고 싶은 말이 이거였어ㅠㅠ
9,  @user-fu8uf2ds8o,중소라서 저정도 비쥬얼에 실력까진 무린듯ㅠㅠ
10,  @songkangg,이서 잘하는거에요
11,  @Akaps123,레이 빈자리 채워주느라 열심히네.. ㅜㅜ
12,  @myang8623, @user-fu8uf2ds8o  스타쉽은 대형이지 어케 중소야...
13,  @user-wp3ux7eq9k,무조건 잘한다 잘한다 하는 팬들 싫어하는데 딱 맞는 댓글 써주셨네요. 솔직히 이서는 발음도 부정확하고.. 잘하는건 아닌데 하려고하는 모습 보이니까 좋은것 같아요. 연습 하는만큼 늘것같아서 기대돼요. 리즈랑 유진은 진짜 잘하고..
14,  @saksakki0131,성량 좋은데 불안정한 감이 야악간 있음 그치만 레이 파트까지 다 맡고 있는 상황이고 가사 하나 안 날리는 게 예쁘게 보임 다음 컴백도 기대됨
15,  @user-xi5oz4jy7z, @user-fu8uf2ds8o  스타쉽 정도면 중소는 아니지 않나
16,  @user-th2kd6pj1b," @user-xi5oz4jy7z  대형은 sm, 하이브 이런 데예요, 스타쉽은 아이브 보면 커보이긴하지만 중견이 맞아염+밑에 이미 댓 달아서 딱히 수정 안하려 했는데 똑같은 대댓글 계속 달려서 그냥 수정합니다 중견으로 해요 우리,,"
17,  @user-th2kd6pj1b,라이브잘해야가수 오 중견이 맞는 거 같음요
18,  @ine365,맞아 성의있어 보이고 열심히 하는 거 같아서 좋음
19,  @ws7eyd,​ @user-th2kd6pj1b  거긴 삼대기획사라고 하는게 맞지않나.. 중소는 범위가 너무 넓어지니까 중대형이 맞지 소 붙을 회사는 아닌데
20,  @user-rv5sy9wt6w, @user-th2kd6pj1b  스타쉽이 아이브때메 유명한줄아나…
21,  @user-th2kd6pj1b, @user-rv5sy9wt6w  물론 씨스타 몬엑 크레비티 많은 거 아는데용 아이브 영상이라 아이브라 한거예욤
22,  @Soobin_TXT1205,​ @user-fu8uf2ds8o  스타쉽이 어째서 중소임??
23,  @user-ub1hb8qj1l, @user-th2kd6pj1b  소속사가 대형 아니면 중소밖에 없냐 니네들ㅇㅡㄴ
24,  @user-th2kd6pj1b, @user-ub1hb8qj1l  그럼 뭐잇어요? 대 중 소로 나뉘는 거 아님?
25,  @user-nn3oc4ew3k,잘하는데..?
26,  @jun8440,스타쉽도 옛날 스타쉽이 아님.. 카카오 자본 붙어서 훨씬 커짐
27,  @cryingcat5020,이런 모습 보여주면 다음에도 충분히 기대할 만하죠.
28,  @user-yr9kd2wm7i,1인분 몫은 하는거 같은데ㅋㅋㅋ남돌들 중에 쟤보다 못하는데 실력으로 빨리눈 애들 수두룩함
29,  @vtv8035,스타쉽 대기업 맞음. 구글에 쳐도 스타쉽 대형기획사로 뜨는데 다들 뭔솔 ㅋ
30,  @user-mn3eu4hx3m, @user-fu8uf2ds8o  중소보단.. 중간과 대형 그 중간 어디쯤임
31,  @user-ib7sk7ts1u,ZZZZ
32,  @user-nf5zt2bu1d,스티쉽 하는 꼬라지보면 중소임
33,  @utp5138, @user-mn3eu4hx3m  스타쉽자체만 보면 대형임
34,  @user-mq3vm7xh6h,리즈 유진은 저런 격한춤에서 저런고음면 잘하는거아님????대박이네
35,  @lachimolalaarmy7323,Yes 
36,  @beberi9107,잘하는거 맞음 이거 노래방에서도 부르기 힘듦 넘 높아서
37,  @user-mq3vm7xh6h,오 나... 이 만큼 좋아요 많이 달린 건 첨이야...
38,  @cexcexcex,숨차죽겠는데 저 고음 안정적으로 올리는거면 실력좋긴함
39,  @mumi646,저 고음파트 원영이도 잘할텐뎈
40,  @user-er9rg2dl2s,​ @mumi646 ? 지금은 못할듯?
41,  @pipopopi3173,리즈가 확실히 안정적으로 무대를 받쳐주는구나... 거기다 유진이도 실력 더 늘은 것 같다. i am 무대는 유진이와 이서의 재발견이라고 해도 과언이 아님. 결과적으로 기본 포지션을 잘 해주는 멤버가 분량이 늘어나니 이전 무대들보다 훨씬 안정적이고 퀄리티가 올라갔다.
42,  @mac-hs1xu,"유진이는 실력이 는것도 있지만 원래 고음은 잘해요..수록곡 마세티가 3옥솔...유진인 3옥라까지 방송에서 보여줬었구..리즈는  로얄에서  3옥파샵..이번엔 둘다 진성으로 3옥솔..스타쉽에서 아이브내 제일 잘하는 보컬은 유진..음색 쩌는 보컬은 리즈..리즈가 고음에선 오히려 더 늘었죠..유진인 저음부터 고음까지 음역대가 넓고, 리즈는 중고음에서 음색이 쥑이죠...타이틀곡이 다 고음을 갖고가는게 아니라서 유진이 보컬이 오히려 묻혔고 리즈는 음색때문에 파트를 많이 갖고 가지 못했었죠..원래 아이돌 노래가 고음인 경우 러브다이브같은 노래보다 뜨기가 어렵거든요..이번엔 노래도 좋고,  가사도 좋고, 보컬도 좋고..연말 무대에서 아이브 까인후 스타쉽에서 이갈고 따라부르기 쉬운 키치랑 보컬 보여줄수있는 아이엠을 더블타이틀로 내 놓은 듯...스타쉽이야말로 아이브에게 감사해야져."
43,  @hye_2251,우리 리즈 이렇게 잘하는거 세상사람들이 알아줘야해ㅜㅜ
44,  @user-mi8wp8gv1o,알고 있어요~
45,  @gwynderfull,
46,  @user-er9rg2dl2s,리즈랑 유진이가 고음 진짜 잘하고 이서도 많이 늘었고ㅎㅎ 레이 없어서 아쉽지만..
47,  @user-jk9wz8zz3i,이서는 자기 파트도 아니라서 연습도 못한 파트도 챙기느라 정신 없었을탠데 사리지 않고 열심히 다 부르는게 너무너무 보기 좋다.. 다 날리는 거보다 훨씬 나은 거 같음
48,  @dduki00,하이라이트 부분 리즈 잡히지도 않는데 목소리 존재감 무엇… 라이브 레전드 리즈 ..
49,  @user-vx9gj9kf2q,리즈가 리즈찍음
50,  @HAZUKI_300,ㄹㅇ 그냥 무대영상으로 봐도 리즈 라이브 들려서 하이라이트 다 리즈 파트 느낌나서 넘 좋음
51,  @user-vx9gj9kf2q,리즈가 리즈찍음
52,  @HAZUKI_300,ㄹㅇ 그냥 무대영상으로 봐도 리즈 라이브 들려서 하이라이트 다 리즈 파트 느낌나서 넘 좋음
53,  @user-sc6im4tp6i,확실히 잘하는 애들 주축으로 파트를 주니까 노래 퀄리티가 확사는듯 앞으로도 이렇게 하면 좋겠다 장원영도 저음 부분이 확실히 잘 어울리는듯 뭔가 고급진 느낌 힘내자 아이브🫠
